ID,original_language,good_diacritic,good_sentence_raw,good_sentence,good_translation,good_source,good_page,good_num,bad_diacritic,bad_sentence_raw,bad_sentence,bad_translation,bad_source,bad_page,bad_num,phenomenon,paradigm
1538,ind,g,Mereka belum beritahu saya apa-apa mengenainya ...,Mereka belum beritahu saya apa-apa mengenainya...,They have not yet told me anything about it ...,Kroeger 2014,144,20b,*,Mereka bukan beritahu saya apa-apa mengenainya ...,Meraka bukan beritahu saya apa-apa mengenainya...,They have not yet told me anything about it ...,Kroeger 2014,144,20b,Misc./Unknown,negation
1120,ind,g,Suaranya menakutkan anak-anak.,Suaranya menakutkan kanak-kanak.,His voice scared the children.,Sukarno 2003,290,70b,*,Anak-anak ditakutkan oleh suaranya.,Kanak-kanak ditakutkan oleh suaranya.,The children were scared by his voice.,Sukarno 2003,291,72b,Argument Structure,animacy
1030,ind,g,Ceritanya membosankan saya.,Ceritanya membosankan saya.,His story bored me.,Sukarno 2003,197,44c,*,Ceritanya membosani saya.,Ceritanya membosani saya.,His story bored me.,Sukarno 2003,197,45c,Morphology,causativization
1543,ind,g,Kemarin saya hanya makan nasi.,Semalam saya hanya makan nasi.,Yesterday I only ate rice.,Kroeger 2014,151,36a,*,Kemarin saya makan hanya nasi.,Semalam saya makan hanya nasi.,Yesterday I ate only rice.,Kroeger 2014,151,36b,Misc./Unknown,focus
1544,ind,g,Kemarin hanya saya yang makan nasi.,Semalam hanya saya yang makan nasi.,Yesterday it was only me who ate rice.,Kroeger 2014,151,36e,*,Kemarin hanya saya makan nasi.,Semalam hanya saya makan nasi.,Yesterday only I ate rice.,Kroeger 2014,151,36d,Filler-gap,cleft
1033,ind,g,Suara Maria sangat mencurigakan John.,Suara Maria sangat mencurigakan John.,Maria's voice made John (feel) so suspicious.,Sukarno 2003,198,48a,*,Suara Maria sangat mencurigai John.,Suara Maria sangat mencurigai John.,Maria's voice suspected John very much.,Sukarno 2003,199,48c,Morphology,causativization
1546,ind,g,"Menurut rencana, masjid ini bukan akan cuma jadi tempat shalat saja ...","Mengikut perancangan, masjid ini bukan akan cuma menjadi tempat solat...","According to the plan, this mosque will not just become merely a place for daily prayers ...",Kroeger 2014,154,47a,*,"Menurut rencana, masjid ini akan bukan cuma jadi tempat shalat saja ...","Mengikut perancangan, masjid ini akan bukan cuma menjadi tempat solat...",nan,Kroeger 2014,154,47b,Misc./Unknown,focus
1032,ind,g,Maria sangat menyenangi John.,Maria sangat menyenangi John.,Maria likes John very much.,Sukarno 2003,198,47d,*,Suara Maria sangat menyenangi John.,Suara Maria sangat menyenangi John.,Maria's voice likes John very much.,Sukarno 2003,198,47c,Argument Structure,animacy
1262,ind,g,"Ridwan, bang, pacarnya Dewi.","Ridwan, bang, kekasih Dewi.","Ridwan, bro, is Dewi’s boyfriend.",Besier 2021,35,78,*,"Ridwan, bang, adalah pacarnya Dewi.","Ridwan, bang, adalah kekasih Dewi.","Ridwan, bro, is Dewi’s boyfriend.",Besier 2021,35,79,Misc./Unknown,copula
1037,ind,g,John akan memanjangkan jenggotnya.,John akan memanjangkan janggutnya.,John is going to let his beard grow long.,Sukarno 2003,200,51c,*,John akan memanjangi jenggotnya.,John akan memanjangi janggutnya.,John is going to let his beard grow long.,Sukarno 2003,201,52c,Morphology,causativization
2240,zsm,g,Bill minum dua liter air.,Bill minum dua liter air sungai.,Bill drank two liters of river water.,Carson 2000 (adapted),86,13,*,Bill minum dua air.,Bill minum dua air sungai.,Bill drank two river waters.,Carson 2000 (adapted),87,14,Nominal Structure,measure phrase
15,ind,g,Buku itu tidak saya inginkan.,Buku itu tidak saya inginkan.,I don't want the book.,constructed,nan,nan,*,Buku itu tidak saya ingin.,Buku itu tidak saya ingin.,I don't want the book.,Cole & Hermon 2005,67,31a,Argument Structure,transitivity
527,ind,g,Ayah membuatkan mainan itu untuk Tomo.,Ayah membuatkan mainan itu untuk Tomo.,Father made Tomo the toy.,Postman 2002,172,74a,*,Ayah membuatkan untuk Tomo.,Ayah membuatkan untuk Tomo.,Father made Tomo.,Postman 2002,172,74a,Argument Structure,applicative
17,ind,g,Buku yang Wati tulis ada di atas meja itu.,Buku yang Wati tulis ada di atas meja itu.,The book that Wati wrote is on the table.,Cole & Hermon 2005,67,33,*,Buku yang Wati menulis ada di atas meja itu.,Buku yang Wati menulis ada di atas meja itu.,The book that Wati wrote is on the table.,Cole & Hermon 2005,67,32,Morphology,voice
18,ind,g,Buku yang orang terkenal tulis itu ada di atas meja.,Buku yang orang terkenal tulis itu ada di atas meja.,The book written by the famous person is on the table.,constructed,nan,nan,*,Buku yang orang yang tulis terkenal itu ada di atas meja.,Buku yang orang yang menulis terkenal itu ada di atas meja.,The book that the man who wrote is famous is on the table.,Cole & Hermon 2005 (adapted),69,37b,Island effects,complex-NP island
19,zsm,g,Mobil yang Ali beli mobil itu membuat saya marah rusak.,Kereta yang Ali beli kereta itu membuat saya marah rosak.,The car that that Ali bought the car made me angry broke down.,constructed,nan,nan,*,Mobil yang Ali beli membuat saya marah rusak.,Kereta yang Ali beli membuat saya marah rosak.,The car that that Ali bought made me angry broke down.,Cole & Hermon 2005,70,38b,Island effects,subject island
530,ind,g,Mainan itu dibuatkan ayah untuk Tomo.,Mainan itu dibuatkan ayah untuk Tomo.,Father made Tomo the toy.,Postman 2002,172,74b,*,Mainan itu dibuatkan ayah.,Mainan itu dibuatkan ayah.,Father made the toy for.,Postman 2002,172,74b,Argument Structure,applicative
21,ind,g,Mobil yang Ali tanya di mana Wati belinya rusak.,Kereta yang Ali tanya di mana Wati belinya rosak.,The car that Ali asked where Wati bought it broke down.,constructed,nan,nan,*,Mobil yang Ali tanya di mana Wati beli rusak.,Kereta yang Ali tanya di mana Wati beli rosak.,The car that Ali asked where Wati bought broke down.,Cole & Hermon 2005,70,40b,Island effects,wh- island
2243,zsm,g,Polis dan perompak menembak satu sama lain di jalan raya.,Polis dan perompak menembak satu sama lain di jalan raya.,Police and robbers shot each other on the street.,Nomoto 2011,7,23c,*,Satu sama lain menembak polis dan perompak di jalan raya.,Satu sama lain menembak polis dan perompak di jalan raya.,Police and robbers shot each other on the street.,Nomoto 2011,7,23c,Binding,reciprocal
1553,ind,g,Terkadang aku harus diam untuk tidak memperbesar masalah.,Kadang-kadang aku harus berdiam diri untuk tidak memperbesar masalah.,Occasionally I need to keep silent in order not to make the problem worse.,Kroeger 2014,167,82a,*,Terkadang aku harus diam untuk bukan memperbesar masalah.,Kadang-kadang aku harus berdiam diri untuk bukan memperbesar masalah.,Occasionally I need to keep silent in order not to make the problem worse.,Kroeger 2014,167,82a,Misc./Unknown,negation
1558,ind,g,"Gadis itu bukan menangis karena sedih, tetapi karena gembira.","Gadis itu bukan menangis kerana sedih, tetapi kerana gembira.","That girl is not crying because she is sad, but because (she is) happy.",Kroeger 2014,169,87a,*,"Gadis itu tidak menangis karena sedih, tetapi karena gembira.","Gadis itu tidak menangis kerana sedih, tetapi kerana gembira.","That girl is not crying, because she is sad.",Kroeger 2014,169,87b,Misc./Unknown,negation
1049,ind,g,Para petani menyirami lahan dengan air.,Petani menyirami ladang dengan air.,The farmers poured the prepared ground with water.,Sukarno 2003,209,62b,*,Para petani menyirami lahan air.,Petani menyirami ladang air.,The farmers poured the prepared ground water.,Sukarno 2003,209,63b,Argument Structure,transitivity
538,ind,g,Perempuan yang dia lihat itu menangis.,Perempuan yang dia lihat itu menangis.,That woman that he saw cried.,Postman 2002,193,104,*,Perempuan yang dia melihat itu menangis.,Perempuan yang dia melihat itu menangis.,That woman that he saw cried.,Postman 2002,193,103,Filler-gap,relative clause
537,ind,g,Ali mengirim apa kepada Tomo?,Ali menghantar apa kepada Tomo?,What did Ali send to Tomo?,Postman 2002,192,101,*,Apa Ali mengirim kepada Tomo?,Apa yang Ali menghantar kepada Tomo?,What did Ali send to Tomo?,Postman 2002 (adapted),192,102,Filler-gap,wh- question
1556,ind,g,Saya minta supaya saudara tidak pergi.,Saya minta supaya saudara tidak pergi.,I request that you don't go.,Kroeger 2014,168,86a,*,Saya minta supaya saudara bukan pergi.,Saya minta supaya saudara bukan pergi.,I request that you don't go.,Kroeger 2014,168,86a,Misc./Unknown,negation
30,zsm,g,Siapakah yang Bill tahu yang Ali cintai?,Siapakah yang Bill tahu yang Ali cintai?,Who does Bill know that Ali loves?,Cole & Hermon 2005,73,49,*,Siapakah yang Bill tahu bahawa Ali cintai?,Siapakah yang Bill tahu bahawa Ali cintai?,Who does Bill know that Ali loves?,Cole & Hermon 2005,73,48,Island effects,factive island
542,ind,g,Buku yang John beli itu menarik.,Buku yang John beli itu menarik.,That book that John bought is interesting.,Postman 2002,200,113,*,Buku yang John membeli itu menarik.,Buku yang John membeli itu menarik.,That book that John bought is interesting.,Postman 2002,200,113,Filler-gap,relative clause
544,ind,g,Buku itu sudah dibaca oleh dia.,Buku itu sudah dibaca oleh dia.,That book has already been read by him/her.,Postman 2002,271,49,*,Buku itu sudah dibaca oleh saya.,Buku itu sudah dibaca oleh saya.,That book has already been read by me.,Postman 2002,271,49,Verbal Agreement,person constraint
545,ind,g,Buku itu sudah dibaca oleh dia.,Buku itu sudah dibaca oleh dia.,That book has already been read by him/her.,Postman 2002,271,49,*,Buku itu sudah dibaca oleh kamu.,Buku itu sudah dibaca oleh awak.,That book has already been read by you.,Postman 2002,271,49,Verbal Agreement,person constraint
546,ind,g,"Akan memegang bukumu, aku.","Akan memegang bukumu, aku.",I will hold your books.,Vamarasi 1999,10,2.5,*,"Akan will memegang bukumu, ku.","Akan memegang bukumu, ku.",I will hold your books.,Vamarasi 1999,11,2.6,Misc./Unknown,pronoun
547,ind,g,Boleh pergi kamu.,Boleh pergi kamu.,You may go.,Vamarasi 1999,11,2.7,*,Boleh pergi mu.,Boleh pergi mu.,You may go.,Vamarasi 1999,11,2.8,Misc./Unknown,pronoun
548,ind,g,Siapa yang membeli rumah anda?,Siapa yang membeli rumah awak?,Who bought your house?,Vamarasi 1999,12,2.16,*,Apa yang orang itu membeli?,Apa yang orang itu membeli?,What did that person buy?,Vamarasi 1999,12,2.17,Filler-gap,relative clause
549,ind,g,Saya mengirim buku-buku kepada teman.,Saya menghantar buku kepada kawan.,I sent books to a friend.,Vamarasi 1999,14,2.32,*,Saya mengirim kepada teman buku-buku.,Saya menghantar kepada kawan buku-buku.,I sent books to a friend.,Vamarasi 1999,14,2.33,Argument Structure,scrambling
550,ind,g,Dia membuka tasnya untuk polisi.,Dia membuka begnya untuk polis.,He opened his case for the police.,Vamarasi 1999,14,2.34,*,Dia membuka untuk polisi tasnya .,Dia membuka untuk polis begnya.,He opened his case for the police.,Vamarasi 1999,14,2.35,Argument Structure,scrambling
551,ind,g,Kami menghibur diri.,Kita menghibur diri.,We consoled ourselves.,Vamarasi 1999,15,2.4.0,*,Kami menghibur kami sendiri.,Kita menghibur kita sendiri.,We consoled ourselves.,Vamarasi 1999,15,2.42,Morphology,reflexive
1575,ind,g,Ayah mencoba memakai obat.,Ayah mencuba memakai ubat.,Father tried to use medicine.,Arka 2021,187,10a,*,Ayah mencoba obat dipakai.,Ayah mencuba ubat dipakai.,nan,Arka 2021,187,10b,Control/Raising,subject control
41,ind,g,Buku yang saya belikan untuk adik saya ada di atas meja itu.,Buku yang saya belikan untuk adik saya ada di atas meja itu.,The book that I bought for my brother is on the table.,Cole & Hermon 2005,79,63c,*,Buku yang saya belikan adik saya ada di atas meja itu.,Buku yang saya belikan adik saya ada di atas meja itu.,The book that I bought my brother is on the table.,Cole & Hermon 2005,79,63d,Filler-gap,relative clause
43,ind,g,Saya menulis surat kepada ibu saya.,Saya menulis surat kepada ibu saya.,I wrote a letter to my mother.,Cole & Hermon 2005,79,64a,*,Saya menulisi surat kepada ibu saya.,Saya menulisi surat kepada ibu saya.,I wrote a letter to my mother.,Cole & Hermon 2005,79,64a,Argument Structure,applicative
557,ind,g,Pintu itu dibuka Heri.,Pintu itu dibuka Heri.,The door was opened by Heri.,Vamarasi 1999 (adapted),47,4.2b,*,Pintu itu dibuka engkau.,Pintu itu dibuka engkau.,The door was opened by you.,Vamarasi 1999,47,4.2c,Verbal Agreement,person constraint
558,ind,g,Pintu itu dibukanya.,Pintu itu dibukanya.,The door was opened by him.,Vamarasi 1999,47,4.2a,*,Pintu itu dibuka engkau.,Pintu itu dibuka engkau.,The door was opened by you.,Vamarasi 1999,47,4.2c,Verbal Agreement,person constraint
2248,ind,g,Budi memiliki seekor sapi.,Budi memiliki seekor lembu.,Budi has a cow.,Kadaryanto 2010,8,5b,*,Budi memiliki sesapi.,Budi memiliki selembu.,Budi has a cow.,Kadaryanto 2010,8,5b,Quantifiers,classifier
1584,ind,g,Ayah coba make obat.,Ayah cuba pakai ubat.,Father tried to use medicine.,Arka 2021,187,10a,*,Ayah coba obat pakai oleh.,Ayah cuba ubat pakai oleh.,nan,Arka 2021,187,10b,Control/Raising,subject control
49,zsm,g,Siapakah yang Ali anggap Minah suka?,Siapakah yang Ali anggap Minah suka?,Who does Ali believe Minah likes?,constructed,nan,nan,*,Siapakah yang Ali menganggap Minah suka?,Siapakah yang Ali menganggap Minah suka?,Who does Ali believe Minah likes?,Soh & Nomoto 2011,80,5a,Morphology,voice
563,ind,g,Pintu itu dibuka dia.,Pintu itu dibuka dia.,The door was opened by him.,Vamarasi 1999,50,4.7a,*,Pintu itu dibuka saya.,Pintu itu dibuka saya.,The door was opened by me.,Vamarasi 1999,50,4.7h,Verbal Agreement,person constraint
51,zsm,g,Dari jauh datang seorang lelaki tinggi.,Dari jauh datang seorang lelaki tinggi.,From a distance came a tall man.,Soh & Nomoto 2011,83,15b,*,Ke pasar pergi seorang lelaki tinggi.,Ke pasar pergi seorang lelaki tinggi.,A tall man went to a market.,Soh & Nomoto 2011,84,16b,Argument Structure,transitivity
2249,ind,g,Sebentar kemudian datang seorang bocah pekerja membawakan dua buah topi bambu.,Seketika kemudian datang seorang pekerja muda membawa dua buah topi.,In a moment a peddler boy came [and] took two hats.,Kadaryanto 2010 (adapted),29,26a,*,Sebentar kemudian datang sebocah pekerja membawakan dua buah topi bambu.,Seketika kemudian datang sepekerja muda membawa dua buah topi.,In a moment a peddler boy came [and] took two hats.,Kadaryanto 2010 (adapted),29,26a,Quantifiers,classifier
1589,ind,g,Nasi pun dia akan curi.,Beras pun dia akan curi.,"Even rice, s/he would also steal (it).",Arka 2021,187,14b,*,Nasi pun dia akan nyuri.,Beras pun dia akan nyuri.,"Even rice, s/he would also steal (it).",Arka 2021,187,14a,Morphology,inflection
1590,ind,g,"Wanita itu, dia yang memukulnya.","Wanita itu, dia yang memukulnya.","That woman, he is the one who hit her.",Arka 2021,188,15,?,"Wanita itu, dia yang mukulnya.","Wanita itu, dia yang mukulnya.","That woman, he is the one who hit her.",Arka 2021,188,15,Morphology,voice
1592,ind,g,Teka-teki yang saya saja mampu menjawab ada di sini.,Teka-teki yang saya saja mampu menjawab ada di sini.,a puzzle which only I can answer,Arka 2021 (adapted),196,27b,*,Teka-teki yang saya mampu menjawab ada di sini.,Teka-teki yang saya mampu menjawab ada di sini.,nan,Arka 2021 (adapted),196,27b',Filler-gap,relative clause
1594,ind,g,orang yang barangkali hanya kamu sudah mengiriminya uang,Orang yang barangkali hanya awak sudah menghantarnya wang ada di sini.,(the) person who perhaps you are the only person sending him money,Arka 2021 (adapted),200,32b,*,orang yang barangkali hanya kamu sudah mengirim uang untuk,Orang yang barangkali hanya awak sudah menghantar wang untuk ada di sini.,nan,Arka 2021 (adapted),200,32a,Filler-gap,resumptive pronoun
573,ind,g,Saya lupa akan payung kami.,Saya lupa akan payung kita.,I forgot our umbrella.,Vamarasi 1999,58,4.45b,?,Payung kami saya lupa.,Payung kita saya lupa.,Our umbrella I forgot./I forgot our umbrella.,Vamarasi 1999,58,4.44b,Filler-gap,topicalization
1599,ind,g,Dia mencuci sayurnya.,Dia membasuh sayurnya.,(S)he washes his/her vegetables.,Beavers & Udayana 2022,63,25a,*,Dia bercuci sayurnya.,Dia berbasuh sayurnya.,(S)he washes his/her vegetables.,Beavers & Udayana 2022,63,25b,Argument Structure,transitivity
64,ind,g,Siapa yang dirampok tadi malam?,Siapa yang dirompak malam tadi?,Who was robbed last night?,"Cole, Hermon & Tjung 2005",558,9a,*,Siapa dirampok tadi malam?,Siapa dirompak malam tadi?,Who was robbed last night?,"Cole, Hermon & Tjung 2005",557,6a,Filler-gap,wh- question
1088,ind,g,Paul menarikan sebuah tarian di aula.,Paul menari sebuah tarian di dalam dewan.,Paul danced a (particular) dance in the auditorium.,Sukarno 2003,277,43a,*,Paul menari sebuah tarian di aula.,Paul menarikan sebuah tarian di dalam dewan.,Paul danced a (particular) dance in the auditorium.,Sukarno 2003,277,43b,Argument Structure,internal argument
1090,ind,g,Angin meniup apa?,Angin meniup apa?,What did the wind blow?,Sukarno 2003,277,45a,*,Angin sedang bertiup apa?,Angin sedang bertiup apa?,What is the wind blowing?,Sukarno 2003,277,44a,Argument Structure,aspect
581,ind,g,Kita naik taxi itu ke Jayapura.,Kami naik teksi itu ke Jayapura.,We rode that taxi to Jayapura.,Vamarasi 1999 (adapted),61,4.55a,*,Taxi itu kita naik ke Jayapura.,Teksi itu kami naik ke Jayapura.,That taxi was taken by us to Jayapura,Vamarasi 1999,61,4.56,Filler-gap,topicalization
70,zsm,g,Abu belajarlah di bilik itu tadi.,Abu belajarlah di bilik itu tadi.,It was studying that Abu did in that room just now.,"Cole, Hermon & Tjung 2005",561,17,*,Abulah belajar di bilik itu tadi.,Abulah belajar di bilik itu tadi.,It was Abu who was studying in that room just now.,"Cole, Hermon & Tjung 2005",561,15,Misc./Unknown,focus
72,zsm,g,Abu belajar di bilik itu tadilah.,Abu belajar di bilik itu tadilah.,It was just now that Abu was studying in that room.,"Cole, Hermon & Tjung 2005",562,21,*,Abulah belajar di bilik itu tadi.,Abulah belajar di bilik itu tadi.,It was Abu who was studying in that room just now.,"Cole, Hermon & Tjung 2005",561,15,Misc./Unknown,focus
73,zsm,g,Abu belajarkah di bilik itu tadi?,Abu belajarkah di bilik itu tadi?,Was it studying that Abu did in that room just now?,"Cole, Hermon & Tjung 2005",562,18,*,Abukah belajar di bilik itu tadi?,Abukah belajar di bilik itu tadi?,Was it Abu who was studying in that room just now?,"Cole, Hermon & Tjung 2005",561,16,Misc./Unknown,focus
1608,ind,g,Tono berdandan diri.,Tono berdandan diri.,Tono dressed (himself).,Beavers & Udayana 2022,65,30,*,Tono berdandan dengan cepat diri.,Tono berdandan dengan cepat diri.,Tono dressed (himself).,Beavers & Udayana 2022,65,30,Argument Structure,internal argument
2253,ind,g,Anak-anak senang belajar Matematika.,Budak-buka suka belajar matematik.,Children like studying Math.,Kadaryanto 2010,43,44a,*,Anak senang belajar Matematika.,Budak suka belajar matematik.,Children like studying Math.,Kadaryanto 2010,43,44a,Morphology,inflection
76,ind,g,Bapakku yang menjadi guru.,Bapaku yang menjadi guru.,My father is (the one) who is a teacher.,"Cole, Hermon & Tjung 2005",564,29b,*,Bapakku yang guru.,Bapaku yang guru.,My father is (the one) who is a teacher.,"Cole, Hermon & Tjung 2005",564,29a,Filler-gap,relative clause
588,ind,g,Bacalah buku itu!,Bacalah buku itu!,Read that book!,Vamarasi 1999,64,4.69a,*,Bacanyalah!,Bacanyalah!,Read it!,Vamarasi 1999,64,4.72a,Misc./Unknown,pronoun
1102,ind,g,Semua orang akan disambut dengan pintu terbuka.,Semua orang akan disambut dengan pintu terbuka.,All will be welcomed with an open door.,Sukarno 2003,283,57a,*,Semua orang akan disambut dengan pintu dibuat.,Semua orang akan disambut dengan pintu dibuka.,All will be welcomed with an opened door.,Sukarno 2003,283,57b,Nominal Structure,modifier
1103,ind,g,Para pemberontak akan disambut dengan tangan terbuka.,Pemberontak akan disambut dengan tangan terbuka.,The rebels will be welcomed with open arms.,Sukarno 2003,283,57c,*,Para pemberontak akan disambut dengan tangan dibuka.,Pemberontak akan disambut dengan tangn dibuka.,The rebels will be welcomed with opened arms.,Sukarno 2003,283,57d,Nominal Structure,modifier
1104,ind,g,Salju menutupi Mt Ruapehu.,Salji meliputi Gunung Ruapehu.,Snow covers Mt. Ruapehu.,Sukarno 2003,285,61a,*,Salju menutup Mt Ruapehu.,Salji meliput Gunung Ruapehu.,Snow covers Mt. Ruapehu.,Sukarno 2003,284,60a,Argument Structure,internal argument
593,ind,g,Ibu memasakkannya nasi gorengnya.,Ibu memasakkannya nasi goreng itu.,Mother cooked him the fried rice.,Vamarasi 1999,73,5.5,*,Ibu memasakkan ia nasi gorengnya. ,Ibu memasakkan dia nasi goreng itu.,Mother cooked him the fried rice.,Vamarasi 1999,73,5.6,Misc./Unknown,pronoun
1618,zsm,g,Ali memberitahu kamu yang Mary fikir dia suka perempuan yang beli apa?,Ali memberitahu kamu yang Mary fikir dia suka perempuan yang beli apa?,What did Ali tell you that Mary thinks that he likes a woman who bought?,Cole & Hermon 2000,107,8,*,Ali memberitahu kamu apa yang Mary fikir dia suka perempuan yang beli?,Ali memberitahu kamu apa yang Mary fikir dia suka perempuan yang beli?,What did Ali tell you that Mary thinks that he likes a woman who bought?,Cole & Hermon 2000,107,9,Island effects,complex-NP island
1619,zsm,g,Ali memberitahu kamu yang Mary fikir dia suka perempuan yang beli apa?,Ali memberitahu kamu yang Mary fikir dia suka perempuan yang beli apa?,What did Ali tell you that Mary thinks that he likes a woman who bought?,Cole & Hermon 2000,107,8,*,Ali memberitahu kamu apa Mary fikir dia suka perempuan yang beli?,Ali memberitahu kamu apa Mary fikir dia suka perempuan yang beli?,What did Ali tell you that Mary thinks that he likes a woman who bought?,Cole & Hermon 2000,107,9,Island effects,complex-NP island
1616,ind,g,Esti pulang karena Budi tidak mau berdansa dengan dia?,Esti balik kerana siapa tidak mahu menari dengan dia?,Did Esti go home because Budi didn't want to dance with her?,Sato 2013,500,9a,*,Siapa yang Esti pulang karena tidak mau berdansa dengan dia?,Siapa yang Esti balik kerana tidak mahu menari dengan dia?,Who did Esti go home bacause didn't want to danse with her?,Sato 2013,500,9c,Island effects,adjunct island
2255,ind,g,Anak-anaknya Pak Darto semuanya pintar-pintar.,Anak-anak Pak Darto semuanya pintar-pintar.,Mr. Darto’s children are all clever.,Kadaryanto 2010 (adapted),44,44b,*,Anaknya Pak Darto semuanya pintar-pintar.,Anak Pak Darto semuanya pintar-pintar.,Mr. Darto’s children are all clever.,Kadaryanto 2010 (adapted),44,44b,Morphology,inflection
1622,zsm,g,Kamu sayang perempuan yang Ali fikir telah berjumpa siapa?,Kamu sayang perempuan yang Ali fikir telah berjumpa dengan siapa?,You love the woman who Ali thinks met who?,Cole & Hermon 1998 (adapted),107,10a,*,Kamu sayang perempuan yang Ali fikir dengan siapa telah jumpa?,Kamu sayang perempuan yang Ali fikir dengan siapa telah jumpa?,You love the woman who Ali thinks met who?,Cole & Hermon 2000,108,11a,Island effects,complex-NP island
1624,zsm,g,Kamu sayang perempuan yang Ali fikir yang telah makan apa?,Kamu sayang perempuan yang Ali fikir yang telah makan apa?,You love the woman who Ali thinks ate what?,Cole & Hermon 2000,107,10b,*,Kamu sayang perempuan yang Ali fikir apa yang telah makan?,Kamu sayang perempuan yang Ali fikir apa yang telah makan?,You love the woman who Ali thinks ate what?,Cole & Hermon 2000,108,11b,Island effects,complex-NP island
1625,zsm,g,Kamu sayang perempuan yang Ali fikir telah makan apa?,Kamu sayang perempuan yang Ali fikir telah makan apa?,You love the woman who Ali thinks ate what?,Cole & Hermon 2000,107,10b,*,Kamu sayang perempuan yang Ali fikir apa telah makan?,Kamu sayang perempuan yang Ali fikir apa telah makan?,You love the woman who Ali thinks ate what?,Cole & Hermon 2000,108,11b,Island effects,complex-NP island
601,ind,g,Dia menyanyi untuk pacarnya.,Dia menyanyi untuk teman wanitanya.,He sang for his girlfriend.,Vamarasi 1999,76,7.16a,*,Dia menyanyikan pacarnya.,Dia menyanyikan teman wanitanya.,He sang for his girlfriend.,Vamarasi 1999,76,7.16b,Argument Structure,applicative
